is_nine,pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10
FALSE,0,-210.8045277,404.5007715,-839.5894931,437.5561149,287.2694164,140.1563476,-6.23583902,-555.6857423,420.0169163,197.9995544
FALSE,0,-755.8093947,134.7735849,-249.6025476,-728.0484526,-145.4329938,433.8716021,-58.3753093,195.996758,-12.51717033,-145.3504886
FALSE,0,690.1341466,-339.2328936,523.9830283,891.091849,349.0793043,234.188195,-550.9983875,-446.3416124,-324.1851406,-210.7200811
FALSE,0,186.8789753,762.6749424,-401.067222,369.4606419,575.2949653,-249.3373908,193.2145687,48.54483945,-593.6240959,362.555371
FALSE,0,-773.4863165,41.56313516,-233.823872,-627.5858386,-373.388425,255.0411377,-148.3973173,215.4072414,52.32330066,-242.3921027
FALSE,0,-387.9219094,344.6424402,-570.746736,118.1690958,638.6292586,-271.3752478,-50.81571074,13.86796065,242.8739884,826.4263788
FALSE,0,-620.7733324,774.7724015,440.4975005,178.664042,-27.9527452,60.47874331,-628.1148391,209.829771,-180.3119967,204.4290236
FALSE,0.001,169.5088728,177.0042707,15.55281958,357.691039,122.1862979,330.851937,-47.40054378,135.0938092,-439.8508805,455.8430185
FALSE,0,314.5078525,635.3528636,-435.9918476,450.3301348,-242.5654681,-108.2270778,-596.4767336,-313.6524193,65.48397763,57.9689396
FALSE,0,741.9287483,-628.6688355,49.96693847,113.8298159,1482.446154,419.7914055,-132.6557979,751.6812585,-218.4935488,95.54640126
FALSE,0,40.75352411,6.766512425,704.2074865,11.4631025,645.1899419,-106.1538855,280.6374917,621.3994112,-176.517279,586.9518193
FALSE,0,-34.75561001,775.5413816,-412.8660683,237.0569064,9.846528466,-402.2223042,-732.8678034,-412.0931255,-127.3278829,326.4221423
FALSE,0,639.8503958,51.45874135,87.59013672,653.616783,943.6281156,-219.3423909,-758.2508266,547.2425073,-405.0341123,-627.078839
FALSE,0,-895.8247604,-42.90363971,12.9601656,-443.7480327,-238.1078409,699.8367212,-210.3457961,-278.0032601,155.0141472,137.1940181
FALSE,0,-395.1367265,-387.1785014,100.5196171,-127.3775647,1049.863148,84.1431168,-225.4559877,289.4131244,-138.6871273,-264.4033267
FALSE,0,-15.22351792,591.6759633,-540.4366332,581.6515888,370.1879889,-444.84481,-182.0000341,40.63368594,-228.2033576,287.4762631
FALSE,0,-291.4338024,277.5718636,-426.5531319,891.1103846,519.6928317,281.8699232,-11.57006156,-561.7143749,642.2556376,196.6415791
FALSE,0,-655.1518475,105.1362514,944.035333,309.6714483,561.3588341,-285.9901698,-2.616847059,-12.46284103,647.5799762,41.67642138
FALSE,0,-152.6594853,689.6380383,-374.684168,-75.49145109,366.6638982,-557.5292866,-457.9059738,-218.6344089,-352.3969559,611.851063
FALSE,0,-79.46617825,394.0379519,-300.6923798,150.5314707,-387.3931889,-209.9260537,-897.2266313,-673.3931459,67.55605208,63.03622146
FALSE,0,-133.3691544,129.5371716,660.2063075,-2.667542489,547.9733185,-23.9000166,-237.0317372,-11.48062297,-405.6872151,25.90080088
FALSE,0,-285.6646985,321.786309,251.6331465,314.6338558,308.822893,-127.399195,473.8939754,380.8181363,-262.2481997,797.8382643
FALSE,0,70.35099573,41.33915143,-233.3519865,-9.512344414,256.8842808,605.6798869,-780.8471557,-154.3846775,71.79943198,-146.1546411
FALSE,0,-532.5482378,604.2113502,-302.2347721,135.58792,261.2129785,-314.5553239,-74.33577461,40.30417493,-549.4023251,435.8546453
FALSE,0,1501.472558,-324.7246102,482.8615321,1063.746847,405.924462,518.3332529,-42.44223884,462.4815482,-517.602052,105.0535907
