is_nine,pred_prob,f_1,f_2
FALSE,0,-272.2388669,-696.1895109
FALSE,0,229.2205178,393.5017986
FALSE,0.002,-446.8200529,-845.6603368
FALSE,0,274.6059737,713.8885063
FALSE,0,185.6279786,-435.7781835
FALSE,0,-456.3925975,-817.6701859
FALSE,0.01,251.9892592,-535.3194452
FALSE,0,416.4770175,-476.6316781
FALSE,0,-104.8032634,-223.754266
FALSE,0,-478.3816935,-331.324502
FALSE,0,460.261788,792.7250178
FALSE,0,273.8694249,340.5115396
FALSE,0,-255.7084511,-482.5946335
FALSE,0,572.2604006,546.3318222
FALSE,0,-308.382907,-767.892497
FALSE,0.001,759.473948,88.84949782
FALSE,0.001,287.1848808,-496.1323897
FALSE,0,208.9420794,-490.4799874
FALSE,0,64.45972669,-412.6095413
FALSE,0,-455.0949147,-246.9900158
FALSE,0,602.1251512,99.26260976
FALSE,0,245.4875762,-271.9754429
FALSE,0,-375.3794335,-63.05044304
FALSE,0,251.8505426,-748.2019589
FALSE,0,31.36897571,1100.714792
FALSE,0,303.6821801,-711.8796341
FALSE,0,155.985256,-325.8155315
FALSE,0,452.7317471,1085.569836
FALSE,0.001,-153.0431969,-886.766376
FALSE,0,423.1089699,-106.1582645
FALSE,0,-163.4149358,-975.0865825
FALSE,0,1080.214528,-250.5488448
FALSE,0,67.96841214,-383.9374512
FALSE,0,-839.9803531,-328.7126263
FALSE,0,-229.8847904,225.8383891
FALSE,0,221.0964237,-677.8178445
FALSE,0,-229.5958861,-978.7053679
FALSE,0.001,113.8937323,59.5411932
FALSE,0.003,-331.3253749,-760.1614705
FALSE,0.003,-325.853055,-1023.119181
FALSE,0,-16.05721826,-808.3416165
FALSE,0,167.4974238,-437.907043
FALSE,0,-471.4952871,-322.1705693
FALSE,0,24.07763865,-451.5644156
FALSE,0.002,61.2541485,414.2006122
FALSE,0.001,304.8381467,-727.0244798
FALSE,0,-465.2391439,-476.0502081
FALSE,0,751.2037559,210.2691686
FALSE,0,321.5032562,-331.2987113
FALSE,0,-168.6107397,-21.01809256
FALSE,0.135,884.0261668,120.9448473
FALSE,0.142,1077.132467,-179.6728235
FALSE,0.111,445.2457622,307.9448195
FALSE,0.172,1140.140538,1153.153575
FALSE,0.166,394.7657883,-312.8122376
FALSE,0.105,-611.1976729,-557.0896789
FALSE,0.186,-529.9258296,730.3132586
FALSE,0.155,105.7658896,593.6166981
TRUE,0.136,337.8160335,-592.7445892
TRUE,0.15,619.043735,-232.7838713
FALSE,0.182,-660.5547061,-612.3209004
FALSE,0.153,-26.90579394,-228.5949029
FALSE,0.197,1096.841642,-16.27702463
FALSE,0.111,-253.9430601,135.5450338
FALSE,0.142,528.1342743,-427.620986
FALSE,0.104,738.3932559,-173.2356512
FALSE,0.145,-83.73885606,-624.2672122
FALSE,0.112,1218.396184,-231.1253707
FALSE,0.121,-314.6973383,-813.4701026
TRUE,0.158,1252.092267,648.5571988
TRUE,0.113,1098.606103,537.4784686
FALSE,0.133,267.2372257,-827.2184542
FALSE,0.113,-170.6934749,-269.9553061
TRUE,0.177,-46.86006305,-127.0527865
FALSE,0.191,196.8737695,-286.5615378
FALSE,0.156,-80.23369395,-389.9896716
FALSE,0.184,-876.2012373,76.45348862
FALSE,0.171,-214.5342589,-51.47146105
FALSE,0.107,303.0842383,101.0704256
FALSE,0.177,178.8823069,-507.0448712
FALSE,0.123,800.6748989,-202.2829599
FALSE,0.114,-226.0478182,-545.6366917
FALSE,0.148,-338.8079418,-36.03392366
TRUE,0.141,302.2476005,-548.7974794
FALSE,0.134,-259.7676758,-202.7005905
TRUE,0.137,-143.0759352,-218.300709
TRUE,0.142,450.4485856,-157.7546994
TRUE,0.12,448.0746749,-393.3332482
FALSE,0.187,-1053.605091,486.7635037
FALSE,0.183,83.00436855,1127.614215
FALSE,0.134,-484.7949284,-783.6184696
FALSE,0.149,1347.498857,72.45880386
FALSE,0.116,736.8718445,470.3601322
FALSE,0.144,1056.820815,-329.8679865
FALSE,0.109,-267.7216155,-475.0890365
FALSE,0.108,135.9131344,1056.007042
FALSE,0.102,316.4661245,863.1834098
TRUE,0.184,-301.4349519,-476.2675802
FALSE,0.123,-864.0150828,-88.52844328
FALSE,0.115,-1097.804436,32.33957723
TRUE,0.244,777.4349253,196.9744041
TRUE,0.266,-337.7080171,1483.948344
FALSE,0.295,-745.6923214,761.1546042
FALSE,0.22,516.4987909,-837.063922
TRUE,0.234,698.0204534,419.9641522
