is_nine,pred_prob,f_1,f_2,f_3
FALSE,0,-272.240587,-696.2149062,529.2286227
FALSE,0,229.2212818,393.4645441,-1012.838153
FALSE,0.002,-446.8206024,-845.6419701,-686.5778073
FALSE,0,274.6027523,713.8665887,598.3649726
FALSE,0,185.6257952,-435.793176,831.784452
FALSE,0,-456.3934821,-817.6537771,-681.12873
FALSE,0.01,251.9913669,-535.3115439,492.2059951
FALSE,0,416.4776804,-476.6051011,5.052733422
FALSE,0,-104.80391,-223.7690551,449.6319668
FALSE,0,-478.3824151,-331.3056238,968.7635451
FALSE,0,460.2587452,792.706477,409.2264623
FALSE,0,273.8670285,340.4928082,49.82353986
FALSE,0,-255.7078382,-482.6024284,758.939095
FALSE,0,572.2587843,546.33273,866.9117499
FALSE,0,-308.383172,-767.9005576,-711.6552178
FALSE,0.001,759.4737019,88.85212104,-350.0626946
FALSE,0.001,287.1836039,-496.1575055,937.5026552
FALSE,0,208.9384078,-490.5248911,485.3536461
FALSE,0,64.46007938,-412.5905763,447.3474689
FALSE,0,-455.0942302,-246.9681491,321.5732891
FALSE,0,602.1247166,99.26755943,-71.27190256
FALSE,0,245.485618,-271.9805424,240.6201127
FALSE,0,-375.3787802,-63.05344176,111.7935191
FALSE,0,251.8490305,-748.2049526,262.1882601
FALSE,0,31.36489164,1100.699483,1066.199632
FALSE,0,303.6806182,-711.8738764,373.377875
FALSE,0,155.9844183,-325.8190362,976.3239197
FALSE,0,452.7301195,1085.555665,525.7917612
FALSE,0.001,-153.043079,-886.7759236,-490.1881341
FALSE,0,423.1075827,-106.178437,-340.57425
FALSE,0,-163.4150694,-975.102849,-374.7277643
FALSE,0,1080.216323,-250.5534835,-329.0699897
FALSE,0,67.96563366,-383.9516061,557.3006289
FALSE,0,-839.9805036,-328.6995966,665.8268125
FALSE,0,-229.8857295,225.8179068,380.4191216
FALSE,0,221.0957741,-677.8342856,631.2140789
FALSE,0,-229.5956984,-978.710772,-463.6379846
FALSE,0.001,113.8915477,59.50022744,-739.6837836
FALSE,0.003,-331.3254736,-760.1657884,-754.0675035
FALSE,0.003,-325.8531761,-1023.11396,-487.326714
FALSE,0,-16.05778528,-808.3331855,314.5034241
FALSE,0,167.4970282,-437.9108199,347.7909629
FALSE,0,-471.4972804,-322.1921684,-602.0556437
FALSE,0,24.07839517,-451.5681957,-566.1447917
FALSE,0.002,61.25467938,414.2022511,-237.8955173
FALSE,0.001,304.8384424,-727.0364452,-316.5778341
FALSE,0,-465.2381367,-476.0288267,-70.57851444
FALSE,0,751.2033834,210.2718479,1006.64184
FALSE,0,321.5025003,-331.2826068,821.5269917
FALSE,0,-168.6097447,-21.01201203,-426.852865
FALSE,0.135,884.027595,120.9510635,-452.8606667
FALSE,0.142,1077.133607,-179.6462729,122.3078904
FALSE,0.111,445.2470439,307.940504,-154.0057935
FALSE,0.172,1140.140816,1153.139425,-116.3157456
FALSE,0.166,394.765167,-312.8444217,-413.4436959
FALSE,0.105,-611.1978836,-557.0840269,-728.6911357
FALSE,0.186,-529.9282736,730.2917831,85.20853289
FALSE,0.155,105.7655983,593.6223474,-110.4151184
TRUE,0.136,337.8168781,-592.7376359,460.2322218
TRUE,0.15,619.0435227,-232.7805182,-731.372174
FALSE,0.182,-660.5577133,-612.3267409,570.5951908
FALSE,0.153,-26.90623064,-228.5943124,-391.7511608
FALSE,0.197,1096.8434,-16.24431605,163.3166199
FALSE,0.111,-253.9436839,135.5568871,714.4572398
FALSE,0.142,528.1339238,-427.6210907,-92.82278664
FALSE,0.104,738.3923436,-173.2368778,-377.8358653
FALSE,0.145,-83.7411191,-624.2909856,804.1599545
FALSE,0.112,1218.396285,-231.1139204,106.8614628
FALSE,0.121,-314.6970242,-813.478989,156.8932413
TRUE,0.158,1252.090888,648.5168369,-244.3135013
TRUE,0.113,1098.606491,537.4825427,-228.5731271
FALSE,0.133,267.2368218,-827.2440508,-377.5540085
FALSE,0.113,-170.6949565,-269.9534881,-806.632789
TRUE,0.177,-46.86078997,-127.0599458,881.1747002
FALSE,0.191,196.8732263,-286.5692832,-777.2930201
FALSE,0.156,-80.23561875,-390.0417049,-6.40074734
FALSE,0.184,-876.2025689,76.42292302,-240.5156637
FALSE,0.171,-214.5345237,-51.47745286,445.7505917
FALSE,0.107,303.0845736,101.0677455,-60.86693325
FALSE,0.177,178.8801346,-507.0687562,312.1816378
FALSE,0.123,800.6762347,-202.2909469,-537.0405079
FALSE,0.114,-226.0511299,-545.6369049,489.2954666
FALSE,0.148,-338.8068176,-36.03731516,-425.4227818
TRUE,0.141,302.2470913,-548.8008272,714.2192951
FALSE,0.134,-259.7684003,-202.7213391,1002.576026
TRUE,0.137,-143.0756848,-218.2848777,242.2729479
TRUE,0.142,450.4502084,-157.7390696,-369.8836702
TRUE,0.12,448.077297,-393.2969156,282.8301926
FALSE,0.187,-1053.604774,486.7868698,51.05959471
FALSE,0.183,83.00476235,1127.613406,-288.9694318
FALSE,0.134,-484.7949897,-783.6304316,-331.9950521
FALSE,0.149,1347.498838,72.46758586,-176.0083591
FALSE,0.116,736.8711587,470.3645556,-190.6233951
FALSE,0.144,1056.820099,-329.859158,-49.29767789
FALSE,0.109,-267.7215451,-475.0996073,-818.1419322
FALSE,0.108,135.9124108,1055.993075,-139.4703598
FALSE,0.102,316.4661441,863.1609744,114.8787218
TRUE,0.184,-301.4382264,-476.2873461,934.1022149
FALSE,0.123,-864.0147782,-88.52129839,-62.79878823
FALSE,0.115,-1097.804334,32.3434965,-110.3656709
TRUE,0.244,777.4358292,196.9738009,-338.5563414
TRUE,0.266,-337.707619,1483.957896,519.2988901
FALSE,0.295,-745.6905382,761.1520613,-419.213386
FALSE,0.22,516.4975102,-837.1080045,-68.12490106
TRUE,0.234,698.022194,419.9736044,-58.66963355
FALSE,0.222,521.1489583,-592.9985334,19.40922008
TRUE,0.257,-3.172466545,206.5031844,737.8067709
FALSE,0.231,-334.3890854,-364.6121546,-859.2402314
FALSE,0.274,1143.518432,-309.2901471,-237.2407771
FALSE,0.286,19.61328871,72.60326641,-812.0886498
TRUE,0.26,918.5300597,843.4309785,-235.9996216
FALSE,0.212,340.4684989,-890.5903326,82.05059524
FALSE,0.27,40.33740138,294.0062118,-552.8658672
FALSE,0.26,-833.2444401,-400.4091417,-525.0629884
FALSE,0.284,-698.5353288,-475.8268495,-455.8953189
FALSE,0.223,-957.7695224,314.1415509,-630.9051915
FALSE,0.207,30.42138767,-562.7405127,-176.1572603
TRUE,0.23,-776.9765018,-485.2042728,14.09525585
FALSE,0.215,1006.181675,-359.2240589,-151.8460357
FALSE,0.254,-512.0723706,-594.7359158,-225.6477203
TRUE,0.289,-36.64640656,-693.2800534,-313.1797995
FALSE,0.235,1243.71246,-330.1783917,-299.8237289
FALSE,0.281,-657.9161069,-31.68219106,928.2200083
FALSE,0.244,-681.709604,221.795766,19.69176724
FALSE,0.212,-1052.253639,72.82532871,407.1377849
TRUE,0.231,-290.0848885,1223.331332,707.0068216
FALSE,0.244,-478.3814905,-528.2410186,-718.95269
FALSE,0.217,276.5060291,659.6480737,-139.1053523
FALSE,0.218,-652.5679675,-287.1593416,-841.1345929
TRUE,0.22,155.9868747,350.2163091,-740.1957862
FALSE,0.213,-528.9471093,-111.4756801,-948.5679491
FALSE,0.225,-510.1738417,381.0418134,-616.1024437
FALSE,0.273,-484.404206,1089.926241,-223.4371361
TRUE,0.222,-648.0956692,-571.1723859,-159.6512864
FALSE,0.203,993.5776143,-476.3816564,186.969671
FALSE,0.271,-98.37492686,-60.67826804,-990.5678617
TRUE,0.294,196.8507419,29.78221828,-163.3889368
FALSE,0.266,-988.7657279,85.0313693,900.4932767
FALSE,0.297,-192.6825458,123.0416888,-335.486511
FALSE,0.206,783.4662619,-399.4961284,-333.4700341
FALSE,0.236,-850.9711815,43.12823571,-584.3885533
TRUE,0.252,243.1430501,409.9209721,-511.6431041
TRUE,0.247,822.1612731,20.13859134,618.9828539
FALSE,0.211,1065.155484,268.7458814,-304.7032099
FALSE,0.252,-686.6371614,25.46241263,756.6984512
FALSE,0.297,907.7342063,-373.794976,-161.986402
TRUE,0.295,1166.158008,116.0166469,-436.8545513
TRUE,0.251,900.2606672,-377.6043694,33.63658901
TRUE,0.222,187.1685889,-629.9470236,-40.11522254
FALSE,0.252,-477.0662868,-335.4894144,-164.0640333
FALSE,0.341,519.4015081,-644.9647776,-164.1004294
TRUE,0.344,366.4921217,771.1802881,-58.17433488
TRUE,0.382,951.6006026,85.28342295,-536.6385443
FALSE,0.306,-974.1607019,-285.2186675,40.39596983
TRUE,0.34,-381.4697987,-296.5400505,200.6297519
FALSE,0.307,598.0725397,-814.5756953,-183.5204508
TRUE,0.356,558.9530173,681.427923,-74.08288037
FALSE,0.373,1028.956581,40.32353011,690.9898281
FALSE,0.388,805.2838735,180.0917247,-272.9842988
TRUE,0.363,519.6089196,-283.7290313,-184.5517839
FALSE,0.383,-264.2835288,1122.373534,-382.0632371
TRUE,0.328,-108.9229579,-443.502702,549.9283383
TRUE,0.391,611.3967965,568.2575417,-64.22009672
FALSE,0.334,12.52105572,376.3504968,-458.7893886
FALSE,0.36,212.8648521,-67.15670228,761.2911504
FALSE,0.307,-264.3217071,-838.8772343,-189.2492225
FALSE,0.342,-538.1618706,1219.300858,63.89697344
FALSE,0.391,-893.3784038,772.9013784,-226.5040034
TRUE,0.319,-10.96575431,-675.2114171,981.4422351
FALSE,0.367,-361.0767007,1068.971865,-27.59394104
FALSE,0.345,1355.478845,-155.0823896,-321.868468
FALSE,0.307,-609.4617316,-339.5159572,-620.4976624
TRUE,0.364,-345.7387669,-398.6842322,499.5068778
FALSE,0.351,-413.8868167,-793.9965251,-461.9318045
FALSE,0.305,-787.5292417,126.5136952,-832.6447523
FALSE,0.388,532.0468509,1421.131459,-416.1250773
FALSE,0.307,973.320486,617.4618688,600.358694
FALSE,0.355,603.4773205,667.6108691,3.901195505
TRUE,0.303,-566.6387557,131.6273404,228.7334261
TRUE,0.348,291.4860964,-68.02770929,-20.74844368
FALSE,0.382,-1103.493628,554.6589289,543.559143
TRUE,0.394,-349.8685699,-300.3533351,376.0486595
FALSE,0.354,-1000.551698,599.7795261,1094.846046
FALSE,0.333,-1019.554609,432.7317024,885.7832354
FALSE,0.332,217.683302,303.3175182,-1055.019935
FALSE,0.37,-197.1934527,-613.5404035,-592.928212
FALSE,0.322,-536.0812794,-291.8584257,-823.6747813
FALSE,0.389,-39.95911776,-252.5023393,120.5105108
TRUE,0.382,-577.0431527,400.4139628,40.04509997
TRUE,0.304,503.6992466,-562.4754429,-308.6117242
FALSE,0.349,139.7314907,-90.54415556,-898.9652149
FALSE,0.358,-72.13757397,-806.2454293,-186.9010741
FALSE,0.353,-563.8594958,668.9326134,-316.2674261
FALSE,0.366,-672.7899779,648.9619662,-537.7266504
FALSE,0.303,522.8377795,-493.8926899,-761.2636376
TRUE,0.4,165.7818888,425.6292382,-32.71499543
TRUE,0.349,380.3770643,-290.7475011,-494.2721416
FALSE,0.323,-505.181875,883.6089478,-26.03982495
FALSE,0.309,-717.7345924,-100.5111225,-828.2364385
TRUE,0.382,1055.827376,1368.586501,189.8087976
