is_nine,pred_prob,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,f_40,f_41,f_42,f_43,f_44,f_45,f_46,f_47,f_48,f_49,f_50
FALSE,0,-210.8045519,404.5005956,-839.5887798,437.5579063,287.27988,140.1391084,-6.245761742,-555.4804225,419.8718045,197.3943278,-53.83659497,299.6730067,-385.8695774,-196.9376669,328.982744,164.6525473,107.8051916,-220.1673064,-188.289075,126.1604,-237.2393783,-154.1644186,-157.5940948,-98.01396323,-115.200715,-416.6309748,-126.726577,52.89677913,236.2441581,203.5033556,-326.8435215,107.4008253,83.75607522,42.34918785,-243.9837866,213.4919087,-240.631087,-256.8268965,325.2530545,101.9814504,89.00226307,-60.23860628,-9.687713098,-95.40508979,-43.89296939,39.42117924,60.66868124,-104.3178915,26.14551055,183.7273702
FALSE,0,-755.809437,134.7734209,-249.5954371,-728.0387376,-145.3535091,433.8532989,-57.73900917,196.9654218,-12.70642538,-145.5227788,-244.437745,336.1706795,228.8295729,-33.35126763,134.61186,-5.736054151,-137.5071796,-240.206874,-277.8985252,-23.23719415,-158.9019431,-67.47708775,-14.4757998,57.93755803,73.22290976,208.4518431,-185.6958476,26.71478054,-80.82962925,64.14329082,-236.475769,-130.1356954,57.93593234,-181.5710309,141.7139877,96.38861155,261.784081,94.05229004,-69.10666803,-73.23704283,303.9373308,-26.08932858,122.8400196,-18.42552109,44.65359656,163.1917893,-32.94068868,-37.80407213,48.50465686,65.40825485
FALSE,0,690.1340295,-339.2323854,523.9697426,891.0770567,348.980286,234.1246449,-552.1115908,-448.542926,-324.4182755,-210.2060311,-475.1080253,588.2789323,-334.4413809,137.706547,436.987794,20.11383966,138.7579879,285.8794702,151.5196234,240.0498587,-318.8802215,-0.639851026,267.0484011,-101.0832281,115.8408015,-66.47278107,6.594551941,-33.17025938,107.6309419,-90.90338383,-101.6452103,-127.5248674,0.008996533,-126.0366217,15.27705137,-3.14591127,364.3545445,-243.9601781,170.8893132,-95.39433522,-358.8190113,79.74255643,46.92753054,293.6710231,-94.52798681,-163.8031928,148.848896,140.7575787,-58.94042278,-90.73805072
FALSE,0,186.8789775,762.6747015,-401.0656357,369.4612547,575.2733128,-249.3095755,192.9174792,48.27285736,-592.8979649,363.6827436,-57.4329984,-589.2865198,27.73230794,166.0667318,-212.1932059,321.8874202,270.500989,110.4254484,-324.9583593,59.2789443,23.45255186,-9.465663155,133.3750486,-453.3700177,227.1132108,-260.2083873,83.38022604,413.5143515,-261.840196,287.7600977,-47.12028195,-144.7622176,-63.44094516,-84.97677206,90.69045456,77.18249529,106.1226118,-6.846087842,-199.5629147,-194.560766,150.0031269,117.1534613,296.2253927,68.03917961,174.0294119,38.85001417,92.24945898,267.2113796,-3.910329191,-2.731562772
FALSE,0,-773.4863371,41.56285078,-233.8154504,-627.5743927,-373.2982353,255.0254384,-147.66603,216.5840997,52.13763019,-242.7341288,-246.3753557,395.0372816,421.8190818,-12.50153352,232.3762351,54.57266336,-180.7673985,-215.1009021,-401.5501978,-31.90383478,-132.4517432,-123.2719328,-39.40723719,116.6558526,59.76162897,171.9106286,-155.2493081,2.542158364,-53.9099738,-15.64669658,-236.2884673,-64.47989089,80.53744431,-74.07761065,182.1964188,65.12933323,245.4915224,82.36098318,-112.4447389,-84.41577304,231.7791085,-105.3531794,121.0711826,26.42163702,-62.58038768,129.3454494,19.75398485,-73.98032814,95.74841856,90.36276298
FALSE,0,-387.9215555,344.6418135,-570.737055,118.1732467,638.6102942,-271.2261746,-50.56610523,15.10311881,244.0842324,826.3413868,159.789165,217.6596506,359.2466665,-357.9938267,-38.89042457,-256.1399612,215.6737741,-19.73412705,-40.61197725,-247.5432956,362.0267963,417.8490882,-189.384568,-137.0004157,-426.7502419,-488.5840999,-71.54905506,-38.00036402,-398.9776125,-24.45374579,-86.87554822,-159.5522524,27.36817379,-163.1741662,-231.0816136,58.65793186,-175.1893474,-160.6408694,-10.40035881,75.7583986,-201.0569237,-265.4762088,150.7406641,-70.18963404,-6.181540718,141.5335647,-30.03154395,-101.7106969,-258.165125,-75.01548244
FALSE,0,-620.7736374,774.7727935,440.4870892,178.6573522,-27.97525923,60.36022421,-628.5784023,208.5869284,-180.8803016,204.6138891,-10.90616471,-191.7836595,-277.9559069,-145.3234686,-685.3776742,-165.0777331,-368.1453764,-40.34679151,317.4647529,37.48837989,-419.298562,5.585944001,-118.5951324,-27.29819035,178.7219663,-52.19101567,-573.0908117,262.8256767,-79.89967924,3.046252938,-123.7462416,366.9354959,-144.9491219,25.38710938,-85.79085008,18.85650662,7.815834239,-204.0084206,-43.52517567,52.24152093,-136.3362496,-35.24225238,-24.99365211,333.7582699,57.29201329,-50.08486739,-104.3240495,-217.6957647,116.850653,-48.64776996
FALSE,0.001,169.5089589,177.0037077,15.56564449,357.7077126,122.3120162,330.8666575,-46.20465639,137.1559566,-439.859752,455.793705,-313.9859467,-664.5019649,726.3985953,291.6078668,504.1018642,369.6387573,481.2393602,-190.4558353,-144.4381096,-608.5188251,235.7518684,49.75475115,-79.72533051,227.6957999,66.56693091,477.2918092,-293.7936869,88.00146969,67.92191726,28.82679194,236.7486312,-55.51109105,-387.8381109,43.28406587,-225.0129177,-92.42679529,94.70909651,-134.7777877,-113.3370605,-112.3936084,328.6899941,-117.4969253,101.2289995,49.70026069,-47.6204266,-39.00726904,-118.7191024,112.9377972,205.4208446,-145.4595642
FALSE,0,314.5077994,635.352868,-435.9936361,450.3281045,-242.5709427,-108.278217,-596.7635158,-313.9693602,65.37480609,56.79831762,-178.3894884,971.508644,597.343591,-227.995456,-365.9233092,-112.8601921,156.3340901,-71.83030992,-192.1013716,-102.6169965,-348.8181714,-162.2324326,-127.5480006,5.858810748,21.79809548,-376.6344335,-246.2947001,-262.9523146,-188.9145156,-396.1470835,-131.6424363,-13.73322528,24.67664991,264.0504642,-22.61831373,354.4511034,-212.4785354,-26.55495149,93.43426097,-3.641303972,159.4091108,110.7918997,-190.1305805,-42.69251333,41.24975768,71.72986085,-6.36688644,79.49139723,76.55268106,131.2275485
FALSE,0,741.9287315,-628.6690879,49.97131873,113.836482,1482.48909,419.7835455,-132.3380357,752.0701958,-218.8026796,94.45375103,-249.212423,240.1002972,48.49601385,291.6312415,27.20340679,-200.9821345,-107.0439104,-160.0135512,-158.1363452,-12.28278335,-142.7956959,-236.3749212,202.0749669,-65.15565534,-162.3252863,-10.61910998,261.3734005,213.0303475,-347.6618562,135.5133094,105.4514464,165.1321788,56.75936183,-179.8131154,-160.3794344,-303.9313489,-74.00272739,104.246525,128.4830463,12.56279732,9.168834397,37.64694803,-68.82697538,65.92962232,-245.4442761,42.17691659,108.4013006,145.3322569,144.2997473,-251.3525767
